#;Filters;Kernel_Size;Pool;Dense;Epochs;Fitness;Particle Time start;Particle Time end;Particle Time Elapsed;Base Seed
0;104;20;41;493;205;2134;1725576197,4841695;1725576221,7872827;24,303113222122192;3000
1;104;20;41;493;205;2134;1725576197,4841695;1725576221,7872827;24,303113222122192;3000
2;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
3;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
4;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
5;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
6;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
7;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
8;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
9;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
10;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
11;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
12;57;41;42;447;188;1633;1725577087,1681654;1725577101,252224;14,0840585231781;3000
13;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
14;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
15;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
16;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
17;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
18;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
19;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
20;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
21;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
22;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
23;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
24;58;33;42;442;198;1565;1725582180,3738728;1725582195,3245876;14,950714826583862;3000
